BioSample	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	genotype	time	treatment	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	source_name	tissue
SAMN04251978	SRX1424004	2015-11-20	3190	2060	SRR2931110	SRS1156652	GSM1933416	Azuenca (AZ; IRGC#328, Japonica)	150 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251979	SRX1424005	2015-11-20	4039	2554	SRR2931111	SRS1156651	GSM1933417	Azuenca (AZ; IRGC#328, Japonica)	165 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251980	SRX1424006	2015-11-20	3258	2065	SRR2931112	SRS1156650	GSM1933418	Azuenca (AZ; IRGC#328, Japonica)	165 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251981	SRX1424007	2015-11-20	3109	2014	SRR2931113	SRS1156649	GSM1933419	Azuenca (AZ; IRGC#328, Japonica)	180 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251982	SRX1424008	2015-11-20	5006	3340	SRR2931114	SRS1156648	GSM1933420	Azuenca (AZ; IRGC#328, Japonica)	180 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251983	SRX1424009	2015-11-20	4363	2783	SRR2931115	SRS1156647	GSM1933421	Azuenca (AZ; IRGC#328, Japonica)	195 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251984	SRX1424010	2015-11-20	3551	2405	SRR2931116	SRS1156646	GSM1933422	Azuenca (AZ; IRGC#328, Japonica)	195 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251985	SRX1424011	2015-11-20	3743	2472	SRR2931117	SRS1156645	GSM1933423	Azuenca (AZ; IRGC#328, Japonica)	210 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251986	SRX1424012	2015-11-20	3074	1981	SRR2931118	SRS1156644	GSM1933424	Azuenca (AZ; IRGC#328, Japonica)	210 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251987	SRX1424013	2015-11-20	3520	2274	SRR2931119	SRS1156643	GSM1933425	Azuenca (AZ; IRGC#328, Japonica)	225 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251988	SRX1424014	2015-11-20	3057	1967	SRR2931120	SRS1156642	GSM1933426	Azuenca (AZ; IRGC#328, Japonica)	225 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251989	SRX1424015	2015-11-20	3232	2057	SRR2931121	SRS1156641	GSM1933427	Azuenca (AZ; IRGC#328, Japonica)	240 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251990	SRX1424016	2015-11-20	4062	2664	SRR2931122	SRS1156640	GSM1933428	Azuenca (AZ; IRGC#328, Japonica)	240 min	RECOV_HEAT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251991	SRX1424017	2015-11-20	3613	2244	SRR2931123	SRS1156638	GSM1933429	Azuenca (AZ; IRGC#328, Japonica)	15 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251992	SRX1424018	2015-11-20	4126	2654	SRR2931124	SRS1156639	GSM1933430	Azuenca (AZ; IRGC#328, Japonica)	15 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251993	SRX1424019	2015-11-20	4458	2908	SRR2931125	SRS1156637	GSM1933431	Azuenca (AZ; IRGC#328, Japonica)	30 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251904	SRX1424020	2015-11-20	1858	1220	SRR2931126	SRS1156636	GSM1933432	Azuenca (AZ; IRGC#328, Japonica)	30 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251905	SRX1424021	2015-11-20	2559	1640	SRR2931127	SRS1156635	GSM1933433	Azuenca (AZ; IRGC#328, Japonica)	45 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251906	SRX1424022	2015-11-20	4226	2705	SRR2931128	SRS1156634	GSM1933434	Azuenca (AZ; IRGC#328, Japonica)	45 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251907	SRX1424023	2015-11-20	2073	1297	SRR2931129	SRS1156632	GSM1933435	Azuenca (AZ; IRGC#328, Japonica)	60 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251908	SRX1424024	2015-11-20	1372	891	SRR2931130	SRS1156633	GSM1933436	Azuenca (AZ; IRGC#328, Japonica)	60 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251909	SRX1424025	2015-11-20	4480	3139	SRR2931131	SRS1156631	GSM1933437	Azuenca (AZ; IRGC#328, Japonica)	75 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251910	SRX1424026	2015-11-20	3471	2378	SRR2931132	SRS1156630	GSM1933438	Azuenca (AZ; IRGC#328, Japonica)	75 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251911	SRX1424027	2015-11-20	4302	2830	SRR2931133	SRS1156629	GSM1933439	Azuenca (AZ; IRGC#328, Japonica)	90 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251912	SRX1424028	2015-11-20	3663	2388	SRR2931134	SRS1156628	GSM1933440	Azuenca (AZ; IRGC#328, Japonica)	90 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251913	SRX1424029	2015-11-20	3294	2123	SRR2931135	SRS1156627	GSM1933441	Azuenca (AZ; IRGC#328, Japonica)	105 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251914	SRX1424030	2015-11-20	5182	3412	SRR2931136	SRS1156626	GSM1933442	Azuenca (AZ; IRGC#328, Japonica)	105 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251915	SRX1424031	2015-11-20	2223	1401	SRR2931137	SRS1156625	GSM1933443	Azuenca (AZ; IRGC#328, Japonica)	120 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251916	SRX1424032	2015-11-20	1330	837	SRR2931138	SRS1156624	GSM1933444	Azuenca (AZ; IRGC#328, Japonica)	120 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251917	SRX1424033	2015-11-20	3281	2103	SRR2931139	SRS1156623	GSM1933445	Azuenca (AZ; IRGC#328, Japonica)	135 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251918	SRX1424034	2015-11-20	2747	1866	SRR2931140	SRS1156622	GSM1933446	Azuenca (AZ; IRGC#328, Japonica)	135 min	DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251919	SRX1424035	2015-11-20	4252	2740	SRR2931141	SRS1156621	GSM1933447	Azuenca (AZ; IRGC#328, Japonica)	105 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251920	SRX1424036	2015-11-20	3642	2366	SRR2931142	SRS1156620	GSM1933448	Azuenca (AZ; IRGC#328, Japonica)	105 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251921	SRX1424037	2015-11-20	3553	2267	SRR2931143	SRS1156619	GSM1933449	Azuenca (AZ; IRGC#328, Japonica)	120 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251922	SRX1424038	2015-11-20	2761	1818	SRR2931144	SRS1156618	GSM1933450	Azuenca (AZ; IRGC#328, Japonica)	120 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251923	SRX1424039	2015-11-20	4244	2933	SRR2931145	SRS1156616	GSM1933451	Azuenca (AZ; IRGC#328, Japonica)	150 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251924	SRX1424040	2015-11-20	3006	2005	SRR2931146	SRS1156617	GSM1933452	Azuenca (AZ; IRGC#328, Japonica)	150 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251925	SRX1424041	2015-11-20	3654	2309	SRR2931147	SRS1156615	GSM1933453	Azuenca (AZ; IRGC#328, Japonica)	165 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251926	SRX1424042	2015-11-20	3065	1945	SRR2931148	SRS1156614	GSM1933454	Azuenca (AZ; IRGC#328, Japonica)	165 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251927	SRX1424043	2015-11-20	14153	9778	SRR2931149	SRS1156613	GSM1933455	Azuenca (AZ; IRGC#328, Japonica)	180 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251928	SRX1424044	2015-11-20	3577	2292	SRR2931150	SRS1156612	GSM1933456	Azuenca (AZ; IRGC#328, Japonica)	180 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251929	SRX1424045	2015-11-20	2930	2025	SRR2931151	SRS1156611	GSM1933457	Azuenca (AZ; IRGC#328, Japonica)	210 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251930	SRX1424046	2015-11-20	3159	2033	SRR2931152	SRS1156609	GSM1933458	Azuenca (AZ; IRGC#328, Japonica)	210 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251931	SRX1424047	2015-11-20	3870	2520	SRR2931153	SRS1156610	GSM1933459	Azuenca (AZ; IRGC#328, Japonica)	240 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251932	SRX1424048	2015-11-20	3311	2108	SRR2931154	SRS1156608	GSM1933460	Azuenca (AZ; IRGC#328, Japonica)	240 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251933	SRX1424049	2015-11-20	4689	3025	SRR2931155	SRS1156607	GSM1933461	Azuenca (AZ; IRGC#328, Japonica)	270 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251934	SRX1424050	2015-11-20	4659	3066	SRR2931156	SRS1156606	GSM1933462	Azuenca (AZ; IRGC#328, Japonica)	270 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251935	SRX1424051	2015-11-20	4294	2912	SRR2931157	SRS1156605	GSM1933463	Azuenca (AZ; IRGC#328, Japonica)	300 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251936	SRX1424052	2015-11-20	3589	2429	SRR2931158	SRS1156604	GSM1933464	Azuenca (AZ; IRGC#328, Japonica)	300 min	RECOV_DROUGHT	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251937	SRX1424053	2015-11-20	3228	2080	SRR2931159	SRS1156603	GSM1933465	Kinandang puti (KP; IRGC#44513, Indica)	15 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251938	SRX1424054	2015-11-20	3640	2452	SRR2931160	SRS1156601	GSM1933466	Kinandang puti (KP; IRGC#44513, Indica)	15 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251939	SRX1424055	2015-11-20	4646	3105	SRR2931161	SRS1156602	GSM1933467	Kinandang puti (KP; IRGC#44513, Indica)	30 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251940	SRX1424056	2015-11-20	3455	2216	SRR2931162	SRS1156600	GSM1933468	Kinandang puti (KP; IRGC#44513, Indica)	30 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251941	SRX1424057	2015-11-20	2961	1879	SRR2931163	SRS1156599	GSM1933469	Kinandang puti (KP; IRGC#44513, Indica)	45 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251942	SRX1424058	2015-11-20	4156	2762	SRR2931164	SRS1156598	GSM1933470	Kinandang puti (KP; IRGC#44513, Indica)	45 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251943	SRX1424059	2015-11-20	3855	2558	SRR2931165	SRS1156597	GSM1933471	Kinandang puti (KP; IRGC#44513, Indica)	60 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251944	SRX1424060	2015-11-20	4114	2650	SRR2931166	SRS1156596	GSM1933472	Kinandang puti (KP; IRGC#44513, Indica)	60 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251945	SRX1424061	2015-11-20	3537	2316	SRR2931167	SRS1156595	GSM1933473	Kinandang puti (KP; IRGC#44513, Indica)	75 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251946	SRX1424062	2015-11-20	3460	2337	SRR2931168	SRS1156594	GSM1933474	Kinandang puti (KP; IRGC#44513, Indica)	75 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251947	SRX1424063	2015-11-20	3190	2161	SRR2931169	SRS1156593	GSM1933475	Kinandang puti (KP; IRGC#44513, Indica)	90 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251948	SRX1424064	2015-11-20	4442	2881	SRR2931170	SRS1156592	GSM1933476	Kinandang puti (KP; IRGC#44513, Indica)	90 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251949	SRX1424065	2015-11-20	3913	2538	SRR2931171	SRS1156591	GSM1933477	Kinandang puti (KP; IRGC#44513, Indica)	105 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251950	SRX1424066	2015-11-20	3939	2726	SRR2931172	SRS1156590	GSM1933478	Kinandang puti (KP; IRGC#44513, Indica)	105 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251951	SRX1424067	2015-11-20	2412	1691	SRR2931173	SRS1156589	GSM1933479	Kinandang puti (KP; IRGC#44513, Indica)	120 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251952	SRX1424068	2015-11-20	2541	1658	SRR2931174	SRS1156587	GSM1933480	Kinandang puti (KP; IRGC#44513, Indica)	120 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251953	SRX1424069	2015-11-20	2978	1877	SRR2931175	SRS1156586	GSM1933481	Kinandang puti (KP; IRGC#44513, Indica)	135 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251954	SRX1424070	2015-11-20	2629	1664	SRR2931176	SRS1156588	GSM1933482	Kinandang puti (KP; IRGC#44513, Indica)	135 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251955	SRX1424071	2015-11-20	3539	2292	SRR2931177	SRS1156585	GSM1933483	Kinandang puti (KP; IRGC#44513, Indica)	150 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251956	SRX1424072	2015-11-20	3620	2330	SRR2931178	SRS1156584	GSM1933484	Kinandang puti (KP; IRGC#44513, Indica)	150 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
SAMN04251957	SRX1424073	2015-11-20	3174	2046	SRR2931179	SRS1156583	GSM1933485	Kinandang puti (KP; IRGC#44513, Indica)	165 min	CONTROL	RNA-Seq	102	PRJNA301554	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Oryza sativa	ILLUMINA	2016-01-04	SRP065945	Rice leaf	leaf
